Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties;;
"Catheter Ablation of Atrial Fibrillation in Patients With Heart Failure: A Meta-analysis of Randomized Controlled Trials.,""/pubmed/30583296"",""Turagam MK, Garg J, Whang W, Sartori S, Koruth JS, Miller MA, Langan N, Sofi A, Gomes A, Choudry S, Dukkipati SR, Reddy VY."",""Ann Intern Med. 2018 Dec 25. doi: 10.7326/M18-0992. [Epub ahead of print]"",""Ann Intern Med.  2018"",""PubMed"",""citation"",""PMID:30583296"",""pubmed"",""30583296"",""create date:2018/12/26 | first author:Turagam MK"",";;
"Testing Novel Payment and Delivery Approaches Through the Veterans Health Administration's New Center for Innovation.,""/pubmed/30583295"",""Pizer SD, Frakt AB, Sheetz K, Clancy C."",""Ann Intern Med. 2018 Dec 25. doi: 10.7326/M18-2225. [Epub ahead of print] No abstract available. "",""Ann Intern Med.  2018"",""PubMed"",""citation"",""PMID:30583295"",""pubmed"",""30583295"",""create date:2018/12/26 | first author:Pizer SD"",";;
"A Central Venous Catheter That Cannot Be Dislodged Easily by a Confused Patient.,""/pubmed/30583294"",""Brown RS, Kim D."",""Ann Intern Med. 2018 Dec 25. doi: 10.7326/L18-0439. [Epub ahead of print] No abstract available. "",""Ann Intern Med.  2018"",""PubMed"",""citation"",""PMID:30583294"",""pubmed"",""30583294"",""create date:2018/12/26 | first author:Brown RS"",";;
"From Tolerating Anemia to Treating Anemia.,""/pubmed/30557445"",""Shander A, Goodnough LT."",""Ann Intern Med. 2018 Dec 18. doi: 10.7326/M18-3145. [Epub ahead of print] No abstract available. "",""Ann Intern Med.  2018"",""PubMed"",""citation"",""PMID:30557445"",""pubmed"",""30557445"",""create date:2018/12/18 | first author:Shander A"",";;
"Being Explicit About Decisions: Prescribe Medications for Opioid Use Disorder on the Basis of Proven Effectiveness, Not Beliefs.,""/pubmed/30557444"",""Barocas JA, Saitz R."",""Ann Intern Med. 2018 Dec 18. doi: 10.7326/M18-3293. [Epub ahead of print] No abstract available. "",""Ann Intern Med.  2018"",""PubMed"",""citation"",""PMID:30557444"",""pubmed"",""30557444"",""create date:2018/12/18 | first author:Barocas JA"",";;
"Cost-Effectiveness of Buprenorphine-Naloxone Versus Extended-Release Naltrexone to Prevent Opioid Relapse.,""/pubmed/30557443"",""Murphy SM, McCollister KE, Leff JA, Yang X, Jeng PJ, Lee JD, Nunes EV, Novo P, Rotrosen J, Schackman BR."",""Ann Intern Med. 2018 Dec 18. doi: 10.7326/M18-0227. [Epub ahead of print]"",""Ann Intern Med.  2018"",""PubMed"",""citation"",""PMID:30557443"",""pubmed"",""30557443"",""create date:2018/12/18 | first author:Murphy SM"",";;
"Risk and Risk Factors for Chronic Opioid Use Among Opioid-Naive Patients With Newly Diagnosed Musculoskeletal Pain in the Neck, Shoulder, Knee, or Low Back.,""/pubmed/30557442"",""Moshfegh J, George SZ, Sun E."",""Ann Intern Med. 2018 Dec 18. doi: 10.7326/M18-2261. [Epub ahead of print] No abstract available. "",""Ann Intern Med.  2018"",""PubMed"",""citation"",""PMID:30557442"",""pubmed"",""30557442"",""create date:2018/12/18 | first author:Moshfegh J"",";;
"Web Exclusive. Annals Consult Guys - New Right Bundle Branch Block and Newly Diagnosed Alzheimer's: What to Do?,""/pubmed/30557441"",""Merli GJ, Weitz HH."",""Ann Intern Med. 2018 Dec 18";"169(12):CG1. doi: 10.7326/W18-0027. No abstract available. "",""Ann Intern Med.  2018"",""PubMed"",""citation"",""PMID:30557441"",""pubmed"",""30557441"",""create date:2018/12/18 | first author:Merli GJ"",";
"Web Exclusive. Annals for Hospitalists Inpatient Notes - Nonexpert Leadership-Can Hospitalists Turn the Tide of Aggressive End-of-Life Hospital Care?,""/pubmed/30557440"",""Abedini NC."",""Ann Intern Med. 2018 Dec 18";"169(12):HO2-HO3. doi: 10.7326/M18-3244. No abstract available. "",""Ann Intern Med.  2018"",""PubMed"",""citation"",""PMID:30557440"",""pubmed"",""30557440"",""create date:2018/12/18 | first author:Abedini NC"",";
"Healing the Wounds.,""/pubmed/30557438"",""Bartecchi CE."",""Ann Intern Med. 2018 Dec 18";"169(12):887-888. doi: 10.7326/M18-2018. No abstract available. "",""Ann Intern Med.  2018"",""PubMed"",""citation"",""PMID:30557438"",""pubmed"",""30557438"",""create date:2018/12/18 | first author:Bartecchi CE"",";
"A year of small heartbreaks (or, a physician writes her first death note).,""/pubmed/30557437"",""Lawrence K."",""Ann Intern Med. 2018 Dec 18";"169(12):889. doi: 10.7326/M18-1399. No abstract available. "",""Ann Intern Med.  2018"",""PubMed"",""citation"",""PMID:30557437"",""pubmed"",""30557437"",""create date:2018/12/18 | first author:Lawrence K"",";
"Zoster Sine Herpete.,""/pubmed/30557436"",""Borsari BE."",""Ann Intern Med. 2018 Dec 18";"169(12):899. doi: 10.7326/M18-1232. No abstract available. "",""Ann Intern Med.  2018"",""PubMed"",""citation"",""PMID:30557436"",""pubmed"",""30557436"",""create date:2018/12/18 | first author:Borsari BE"",";
"Transplanting Hepatitis C Virus-Infected or Uninfected Kidneys Into Hepatitis C Virus-Infected Recipients.,""/pubmed/30557435"",""Eckman MH, Woodle ES, Thakar CV, Paterno F, Sherman KE."",""Ann Intern Med. 2018 Dec 18";"169(12):898-899. doi: 10.7326/L18-0566. No abstract available. "",""Ann Intern Med.  2018"",""PubMed"",""citation"",""PMID:30557435"",""pubmed"",""30557435"",""create date:2018/12/18 | first author:Eckman MH"",";
"Transplanting Hepatitis C Virus-Infected or Uninfected Kidneys Into Hepatitis C Virus-Infected Recipients.,""/pubmed/30557434"",""Kiberd B, Doucette K, Vinson A, Tennankore K."",""Ann Intern Med. 2018 Dec 18";"169(12):897-898. doi: 10.7326/L18-0565. No abstract available. "",""Ann Intern Med.  2018"",""PubMed"",""citation"",""PMID:30557434"",""pubmed"",""30557434"",""create date:2018/12/18 | first author:Kiberd B"",";
"Guidelines Versus Guidelines.,""/pubmed/30557433"",""Draznin B, Nathan DM, Korytkowski MT, McDonnell ME, Golden SH, Schutta MH, Cefalu WT."",""Ann Intern Med. 2018 Dec 18";"169(12):896-897. doi: 10.7326/L18-0560. No abstract available. "",""Ann Intern Med.  2018"",""PubMed"",""citation"",""PMID:30557433"",""pubmed"",""30557433"",""create date:2018/12/18 | first author:Draznin B"",";
"Guidelines Versus Guidelines.,""/pubmed/30557432"",""O'Sullivan C, Tejani AM, Finucane T."",""Ann Intern Med. 2018 Dec 18";"169(12):895-896. doi: 10.7326/L18-0559. No abstract available. "",""Ann Intern Med.  2018"",""PubMed"",""citation"",""PMID:30557432"",""pubmed"",""30557432"",""create date:2018/12/18 | first author:O'Sullivan C"",";
"Herpes Zoster.,""/pubmed/30557431"",""Schmader K."",""Ann Intern Med. 2018 Dec 18";"169(12):897. doi: 10.7326/L18-0558. No abstract available. "",""Ann Intern Med.  2018"",""PubMed"",""citation"",""PMID:30557431"",""pubmed"",""30557431"",""create date:2018/12/18 | first author:Schmader K"",";
