Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties;;;
"Ancestors.,""/pubmed/30657840"",""Halberstadt CS."",""JAMA. 2018 Dec 11";"320(22):2382. doi: 10.1001/jama.2018.11167. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30657840"",""pubmed"",""30657840"",""create date:2019/01/19 | first author:Halberstadt CS"",";;
"JAMA.,""/pubmed/30657839"",""[No authors listed]"",""JAMA. 2018 Dec 18";"320(23):2395-2396. doi: 10.1001/jama.2017.12681. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30657839"",""pubmed"",""30657839"",""create date:2019/01/19"",";;
"Circles.,""/pubmed/30657838"",""Wynn M."",""JAMA. 2018 Dec 18";"320(23):2487. doi: 10.1001/jama.2018.11489. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30657838"",""pubmed"",""30657838"",""create date:2019/01/19 | first author:Wynn M"",";;
"JAMA.,""/pubmed/30657836"",""[No authors listed]"",""JAMA. 2018 Dec 25";"320(24):2503-2504. doi: 10.1001/jama.2017.12692. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30657836"",""pubmed"",""30657836"",""create date:2019/01/19"",";;
"Twelve Blessings for a Surgeon.,""/pubmed/30657835"",""O'Hare JA."",""JAMA. 2018 Dec 25";"320(24):2603. doi: 10.1001/jama.2018.12434. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30657835"",""pubmed"",""30657835"",""create date:2019/01/19 | first author:O'Hare JA"",";;
"JAMA.,""/pubmed/30657833"",""[No authors listed]"",""JAMA. 2018 Dec 11";"320(22):2287-2288. doi: 10.1001/jama.2017.12670. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30657833"",""pubmed"",""30657833"",""create date:2019/01/19"",";;
"JAMA.,""/pubmed/30657823"",""[No authors listed]"",""JAMA. 2018 Dec 4";"320(21):2175-2176. doi: 10.1001/jama.2017.12659. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30657823"",""pubmed"",""30657823"",""create date:2019/01/19"",";;
"Low-Dose Opioid Hyperalgesia.,""/pubmed/30657822"",""Skillman J."",""JAMA. 2018 Dec 4";"320(21):2274. doi: 10.1001/jama.2018.11161. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30657822"",""pubmed"",""30657822"",""create date:2019/01/19 | first author:Skillman J"",";;
"JAMA.,""/pubmed/30657818"",""[No authors listed]"",""JAMA. 2018 Nov 27";"320(20):2057-2058. doi: 10.1001/jama.2017.12648. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30657818"",""pubmed"",""30657818"",""create date:2019/01/19"",";;
"The Art of Suffering.,""/pubmed/30657817"",""Rosen DH."",""JAMA. 2018 Nov 27";"320(20):2155. doi: 10.1001/jama.2018.11600. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30657817"",""pubmed"",""30657817"",""create date:2019/01/19 | first author:Rosen DH"",";;
"Rethinking How Antibiotics Are Prescribed: Incorporating the 4 Moments of Antibiotic Decision Making Into Clinical Practice.,""/pubmed/30589917"",""Tamma PD, Miller MA, Cosgrove SE."",""JAMA. 2018 Dec 27. doi: 10.1001/jama.2018.19509. [Epub ahead of print] No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30589917"",""pubmed"",""30589917"",""create date:2018/12/28 | first author:Tamma PD"",";;;
"Malar Rash and Polyarthritis.,""/pubmed/30589916"",""Chatterjee S."",""JAMA. 2018 Dec 27. doi: 10.1001/jama.2018.19498. [Epub ahead of print] No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30589916"",""pubmed"",""30589916"",""create date:2018/12/28 | first author:Chatterjee S"",";;;
"We Are All the Same.,""/pubmed/30576401"",""Maneval ML."",""JAMA. 2018 Dec 21. doi: 10.1001/jama.2018.21366. [Epub ahead of print] No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30576401"",""pubmed"",""30576401"",""create date:2018/12/24 | first author:Maneval ML"",";;;
