Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties;;;
"Primary Hyperparathyroidism.,""/pubmed/30592590"",""Choy KW."",""N Engl J Med. 2018 Dec 20";"379(25):e43. doi: 10.1056/NEJMc1813648. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30592590"",""pubmed"",""30592590"",""create date:2018/12/29 | first author:Choy KW"",";;
"Primary Hyperparathyroidism.,""/pubmed/30592589"",""diMarco AN, Sywak MS, Sidhu SB."",""N Engl J Med. 2018 Dec 20";"379(25):e43. doi: 10.1056/NEJMc1813648. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30592589"",""pubmed"",""30592589"",""create date:2018/12/29 | first author:diMarco AN"",";;
"Heat-Stable Carbetocin to Prevent Postpartum Hemorrhage.,""/pubmed/30592588"",""Armbruster D, Burke T, Weeks A."",""N Engl J Med. 2018 Dec 13";"379(24):2380-2381. doi: 10.1056/NEJMc1812692. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30592588"",""pubmed"",""30592588"",""create date:2018/12/29 | first author:Armbruster D"",";;
"Case 28-2018: A Man with Epistaxis, Pain and Erythema of the Forearm, and Pancytopenia.,""/pubmed/30592587"",""Rogers KA, Blachly JS, Grever MR."",""N Engl J Med. 2018 Dec 13";"379(24):2381-2382. doi: 10.1056/NEJMc1813964. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30592587"",""pubmed"",""30592587"",""create date:2018/12/29 | first author:Rogers KA"",";;
"Mutation Clearance after Transplantation for Myelodysplastic Syndrome.,""/pubmed/30592586"",""Zhu X."",""N Engl J Med. 2018 Dec 13";"379(24):2379-2380. doi: 10.1056/NEJMc1813470. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30592586"",""pubmed"",""30592586"",""create date:2018/12/29 | first author:Zhu X"",";;
"Mutation Clearance after Transplantation for Myelodysplastic Syndrome.,""/pubmed/30592585"",""Fozza C."",""N Engl J Med. 2018 Dec 13";"379(24):2379. doi: 10.1056/NEJMc1813470. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30592585"",""pubmed"",""30592585"",""create date:2018/12/29 | first author:Fozza C"",";;
"Aspirin-Exacerbated Respiratory Disease.,""/pubmed/30592398"",""Kuhn DM."",""N Engl J Med. 2018 Dec 6";"379(23):2281. doi: 10.1056/NEJMc1813469. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30592398"",""pubmed"",""30592398"",""create date:2018/12/29 | first author:Kuhn DM"",";;
"Aspirin-Exacerbated Respiratory Disease.,""/pubmed/30592397"",""Rusznak M, Peebles RS Jr."",""N Engl J Med. 2018 Dec 6";"379(23):2280-2281. doi: 10.1056/NEJMc1813469. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30592397"",""pubmed"",""30592397"",""create date:2018/12/29 | first author:Rusznak M"",";;
"Thromboprophylaxis after Hospitalization for Medical Illness.,""/pubmed/30592396"",""Girard P, Le Gal G."",""N Engl J Med. 2018 Dec 6";"379(23):2279. doi: 10.1056/NEJMc1813803. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30592396"",""pubmed"",""30592396"",""create date:2018/12/29 | first author:Girard P"",";;
"Labor Induction vs. Expectant Management of Low-Risk Pregnancy.,""/pubmed/30592395"",""Carbillon L, Benbara A, Boujenah J."",""N Engl J Med. 2018 Dec 6";"379(23):2278. doi: 10.1056/NEJMc1812323. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30592395"",""pubmed"",""30592395"",""create date:2018/12/29 | first author:Carbillon L"",";;
"Labor Induction vs. Expectant Management of Low-Risk Pregnancy.,""/pubmed/30592394"",""Davey MA."",""N Engl J Med. 2018 Dec 6";"379(23):2277-2278. doi: 10.1056/NEJMc1812323. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30592394"",""pubmed"",""30592394"",""create date:2018/12/29 | first author:Davey MA"",";;
"Labor Induction vs. Expectant Management of Low-Risk Pregnancy.,""/pubmed/30592393"",""Pinto PV, Rodrigues T, Montenegro N."",""N Engl J Med. 2018 Dec 6";"379(23):2277. doi: 10.1056/NEJMc1812323. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30592393"",""pubmed"",""30592393"",""create date:2018/12/29 | first author:Pinto PV"",";;
"Antibody-Mediated Rejection of Solid-Organ Allografts.,""/pubmed/30586534"",""Lefaucheur C, Loupy A."",""N Engl J Med. 2018 Dec 27";"379(26):2580-2582. doi: 10.1056/NEJMc1813976. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586534"",""pubmed"",""30586534"",""create date:2018/12/27 | first author:Lefaucheur C"",";;
"Antibody-Mediated Rejection of Solid-Organ Allografts.,""/pubmed/30586533"",""Lakkis FG, Chalasani G, Hariharan S."",""N Engl J Med. 2018 Dec 27";"379(26):2580. doi: 10.1056/NEJMc1813976. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586533"",""pubmed"",""30586533"",""create date:2018/12/27 | first author:Lakkis FG"",";;
"Antibody-Mediated Rejection of Solid-Organ Allografts.,""/pubmed/30586532"",""Cruzado JM."",""N Engl J Med. 2018 Dec 27";"379(26):2579-2580. doi: 10.1056/NEJMc1813976. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586532"",""pubmed"",""30586532"",""create date:2018/12/27 | first author:Cruzado JM"",";;
"Alcohol Use in Patients with Chronic Liver Disease.,""/pubmed/30586530"",""Fuster D, Samet JH."",""N Engl J Med. 2018 Dec 27";"379(26):2579. doi: 10.1056/NEJMc1814129. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586530"",""pubmed"",""30586530"",""create date:2018/12/27 | first author:Fuster D"",";;
"Alcohol Use in Patients with Chronic Liver Disease.,""/pubmed/30586529"",""Rathi S, Singh A, Singh V."",""N Engl J Med. 2018 Dec 27";"379(26):2578-2579. doi: 10.1056/NEJMc1814129. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586529"",""pubmed"",""30586529"",""create date:2018/12/27 | first author:Rathi S"",";;
"Alcohol Use in Patients with Chronic Liver Disease.,""/pubmed/30586528"",""Caputo F, Zoli G, Bernardi M."",""N Engl J Med. 2018 Dec 27";"379(26):2577-2578. doi: 10.1056/NEJMc1814129. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586528"",""pubmed"",""30586528"",""create date:2018/12/27 | first author:Caputo F"",";;
"Restrictive versus Liberal Transfusion for Cardiac Surgery.,""/pubmed/30586526"",""Mazer CD, Whitlock RP, Shehata N."",""N Engl J Med. 2018 Dec 27";"379(26):2576-2577. doi: 10.1056/NEJMc1814414. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586526"",""pubmed"",""30586526"",""create date:2018/12/27 | first author:Mazer CD"",";;
"Restrictive versus Liberal Transfusion for Cardiac Surgery.,""/pubmed/30586525"",""Nelson M, Butterworth J, Pal N."",""N Engl J Med. 2018 Dec 27";"379(26):2576. doi: 10.1056/NEJMc1814414. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586525"",""pubmed"",""30586525"",""create date:2018/12/27 | first author:Nelson M"",";;
"Restrictive versus Liberal Transfusion for Cardiac Surgery.,""/pubmed/30586524"",""Wee IJY."",""N Engl J Med. 2018 Dec 27";"379(26):2575-2576. doi: 10.1056/NEJMc1814414. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586524"",""pubmed"",""30586524"",""create date:2018/12/27 | first author:Wee IJY"",";;
