Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Exercises using a touchscreen tablet application improved functional ability more than an exercise program prescribed on paper in people after surgical carpal tunnel release: a randomised trial.","/pubmed/30926400","Blanquero J, Cortés-Vega MD, García-Frasquet MÁ, Sánchez-Laulhé PR, Nieto Díaz de Los Bernardos MI, Suero-Pineda A.","J Physiother. 2019 Mar 26. pii: S1836-9553(19)30021-9. doi: 10.1016/j.jphys.2019.02.008. [Epub ahead of print]","J Physiother.  2019","PubMed","citation","PMID:30926400","pubmed","30926400","create date:2019/03/31 | first author:Blanquero J",
"Cardiopulmonary Profile of Individuals with Intellectual Disability.","/pubmed/30925577","Boonman AJN, Schroeder EC, Hopman MTE, Fernhall B, Hilgenkamp TIM.","Med Sci Sports Exerc. 2019 Mar 28. doi: 10.1249/MSS.0000000000001995. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:30925577","pubmed","30925577","create date:2019/03/30 | first author:Boonman AJN",
"Cardiac rehabilitation in the elderly patient in eight rehabilitation units in Western Europe. Baseline data from the EU-CaRE multicentre observational study.","/pubmed/30924688","Prescott E, Mikkelsen N, Holdgaard A, Eser P, Marcin T, Wilhelm M, Gil CP, González-Juanatey JR, Moatemri F, Iliou MC, Schneider S, Schromm E, Zeymer U, Meindersma EP, Ardissino D, Kolkman EK, Prins LF, van der Velde AE, Van 't Hof AW, de Kluiver EP.","Eur J Prev Cardiol. 2019 Mar 29:2047487319839819. doi: 10.1177/2047487319839819. [Epub ahead of print]","Eur J Prev Cardiol.  2019","PubMed","citation","PMID:30924688","pubmed","30924688","create date:2019/03/30 | first author:Prescott E",
"Impact of Eccentric or Concentric Training on Body Composition and Energy Expenditure.","/pubmed/30920487","Touron J, Perrault H, Julian V, Maisonnave L, Deat P, Auclair-Ronzaud J, Salles J, Walrand S, Hermet J, Rigaudiere JP, Lebecque P, Malpuech-Brugere C, Montaurier C, Pereira B, Coxam V, Costes F, Richard AR.","Med Sci Sports Exerc. 2019 Mar 25. doi: 10.1249/MSS.0000000000001992. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:30920487","pubmed","30920487","create date:2019/03/29 | first author:Touron J",
"Results from a natural experiment: initial neighbourhood investments do not change objectively-assessed physical activity, psychological distress or perceptions of the neighbourhood.","/pubmed/30917831","Dubowitz T, Ghosh Dastidar M, Richardson AS, Colabianchi N, Beckman R, Hunter GP, Sloan JC, Nugroho AK, Collins RL.","Int J Behav Nutr Phys Act. 2019 Mar 27;16(1):29. doi: 10.1186/s12966-019-0793-6.","Int J Behav Nutr Phys Act.  2019","PubMed","citation","PMID:30917831","pubmed","30917831","create date:2019/03/29 | first author:Dubowitz T",
"Effect of Creatine Supplementation on the Airways of Youth Elite Soccer Players.","/pubmed/30913162","Simpson AJ, Horne S, Sharp P, Sharps R, Kippelen P.","Med Sci Sports Exerc. 2019 Mar 19. doi: 10.1249/MSS.0000000000001979. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:30913162","pubmed","30913162","create date:2019/03/27 | first author:Simpson AJ",
"Beep Test Performance Is Influenced by 30 Minutes of Cognitive Work.","/pubmed/30913161","MacMahon C, Hawkins Z, Schücker L.","Med Sci Sports Exerc. 2019 Mar 19. doi: 10.1249/MSS.0000000000001982. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:30913161","pubmed","30913161","create date:2019/03/27 | first author:MacMahon C",
"Blood Flow-restricted Exercise Does Not Induce a Cross-transfer of Effect: An RCT.","/pubmed/30913160","Ampomah K, Amano S, Wages NP, Volz L, Clift R, Ludin AFM, Nakazawa M, Law TD, Manini TM, Thomas JS, Russ DW, Clark BC.","Med Sci Sports Exerc. 2019 Mar 19. doi: 10.1249/MSS.0000000000001984. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:30913160","pubmed","30913160","create date:2019/03/27 | first author:Ampomah K",
"Massage therapy slightly decreased pain intensity after habitual running, but had no effect on fatigue, mood or physical performance: a randomised trial.","/pubmed/30910569","Bender PU, Luz CMD, Feldkircher JM, Nunes GS.","J Physiother. 2019 Mar 22. pii: S1836-9553(19)30019-0. doi: 10.1016/j.jphys.2019.02.006. [Epub ahead of print]","J Physiother.  2019","PubMed","citation","PMID:30910569","pubmed","30910569","create date:2019/03/27 | first author:Bender PU",
"Goal-oriented instructions increase the intensity of practice in stroke rehabilitation compared with non-specific instructions: a within-participant, repeated measures experimental study.","/pubmed/30910568","Hillig T, Ma H, Dorsch S.","J Physiother. 2019 Mar 22. pii: S1836-9553(19)30020-7. doi: 10.1016/j.jphys.2019.02.007. [Epub ahead of print]","J Physiother.  2019","PubMed","citation","PMID:30910568","pubmed","30910568","create date:2019/03/27 | first author:Hillig T",
"Additional early active repetitive motor training did not prevent contracture in adults receiving task-specific upper limb training after stroke: a randomised trial.","/pubmed/30910563","Horsley S, Lannin NA, Hayward KS, Herbert RD.","J Physiother. 2019 Mar 22. pii: S1836-9553(19)30018-9. doi: 10.1016/j.jphys.2019.02.005. [Epub ahead of print]","J Physiother.  2019","PubMed","citation","PMID:30910563","pubmed","30910563","create date:2019/03/27 | first author:Horsley S",
