Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Are children with higher self-reported wellbeing and perceived motor competence more physically active? A longitudinal study.","/pubmed/31575502","Visser EL, Mazzoli E, Hinkley T, Lander NJ, Utesch T, Barnett LM.","J Sci Med Sport. 2019 Sep 14. pii: S1440-2440(19)30191-4. doi: 10.1016/j.jsams.2019.09.005. [Epub ahead of print]","J Sci Med Sport.  2019","PubMed","citation","PMID:31575502","pubmed","31575502","create date:2019/10/03 | first author:Visser EL",
"Cardiovascular care of patients with stroke and high risk of stroke: The need for interdisciplinary action: A consensus report from the European Society of Cardiology Cardiovascular Round Table.","/pubmed/31569966","Doehner W, Mazighi M, Hofmann BM, Lautsch D, Hindricks G, Bohula EA, Byrne RA, Camm AJ, Casadei B, Caso V, Cognard C, Diener HC, Endres M, Goldstein P, Halliday A, Hopewell JC, Jovanovic DR, Kobayashi A, Kostrubiec M, Krajina A, Landmesser U, Markus HS, et al.","Eur J Prev Cardiol. 2019 Sep 30:2047487319873460. doi: 10.1177/2047487319873460. [Epub ahead of print]","Eur J Prev Cardiol.  2019","PubMed","citation","PMID:31569966","pubmed","31569966","create date:2019/10/02 | first author:Doehner W",
"Pain perception and coping strategies influence early outcomes following knee surgery in athletes.","/pubmed/31563440","Everhart JS, Chafitz AJ, Harris KM, Schiele SE, Emery CF, Flanigan DC.","J Sci Med Sport. 2019 Sep 20. pii: S1440-2440(18)30631-5. doi: 10.1016/j.jsams.2019.09.011. [Epub ahead of print]","J Sci Med Sport.  2019","PubMed","citation","PMID:31563440","pubmed","31563440","create date:2019/09/30 | first author:Everhart JS",
"Exosomes Isolated From Adipose-Derived Stem Cells: A New Cell-Free Approach to Prevent the Muscle Degeneration Associated With Torn Rotator Cuffs.","/pubmed/31560856","Wang C, Song W, Chen B, Liu X, He Y.","Am J Sports Med. 2019 Sep 27:363546519876323. doi: 10.1177/0363546519876323. [Epub ahead of print]","Am J Sports Med.  2019","PubMed","citation","PMID:31560856","pubmed","31560856","create date:2019/09/29 | first author:Wang C",
"Effect of Meniscal Ramp Lesion Repair on Knee Kinematics, Bony Contact Forces, and In Situ Forces in the Anterior Cruciate Ligament.","/pubmed/31560563","Naendrup JH, Pfeiffer TR, Chan C, Nagai K, Novaretti JV, Sheean AJ, Shafizadeh ST, Debski RE, Musahl V.","Am J Sports Med. 2019 Sep 27:363546519872964. doi: 10.1177/0363546519872964. [Epub ahead of print]","Am J Sports Med.  2019","PubMed","citation","PMID:31560563","pubmed","31560563","create date:2019/09/29 | first author:Naendrup JH",
"A cross-sectional comparison between cardiorespiratory fitness, level of lesion and red blood cell distribution width in adults with chronic spinal cord injury.","/pubmed/31558360","Nightingale TE, Bhangu GS, Bilzon JLJ, Krassioukov AV.","J Sci Med Sport. 2019 Aug 21. pii: S1440-2440(19)30446-3. doi: 10.1016/j.jsams.2019.08.015. [Epub ahead of print]","J Sci Med Sport.  2019","PubMed","citation","PMID:31558360","pubmed","31558360","create date:2019/09/29 | first author:Nightingale TE",
"Relationship between physical activity and long-term outcomes in patients with stable coronary artery disease.","/pubmed/31558054","Biscaglia S, Campo G, Sorbets E, Ford I, Fox KM, Greenlaw N, Parkhomenko A, Tardif JC, Tavazzi L, Tendera M, Wetherall K, Ferrari R, Steg PG; CLARIFY investigators..","Eur J Prev Cardiol. 2019 Sep 26:2047487319871217. doi: 10.1177/2047487319871217. [Epub ahead of print]","Eur J Prev Cardiol.  2019","PubMed","citation","PMID:31558054","pubmed","31558054","create date:2019/09/29 | first author:Biscaglia S",
"The external validity of a novel contract-relax stretching technique on knee flexor range of motion.","/pubmed/31544279","Kay AD, Dixon J, Bligh LD, Blazevich AJ.","Scand J Med Sci Sports. 2019 Sep 23. doi: 10.1111/sms.13554. [Epub ahead of print]","Scand J Med Sci Sports.  2019","PubMed","citation","PMID:31544279","pubmed","31544279","create date:2019/09/24 | first author:Kay AD",
"Epidemiology of injuries during the Wheelchair Basketball World Championships 2018: A prospective cohort study.","/pubmed/31544275","Hollander K, Kluge S, Glöer F, Riepenhof H, Zech A, Junge A.","Scand J Med Sci Sports. 2019 Sep 22. doi: 10.1111/sms.13558. [Epub ahead of print]","Scand J Med Sci Sports.  2019","PubMed","citation","PMID:31544275","pubmed","31544275","create date:2019/09/24 | first author:Hollander K",
"Psychosocial mediators of screen time reduction after an intervention for students from schools in vulnerable areas: A cluster-randomized controlled trial.","/pubmed/31543460","Bandeira ADS, Silva KS, Bastos JLD, Silva DAS, Lopes ADS, Barbosa Filho VC.","J Sci Med Sport. 2019 Sep 13. pii: S1440-2440(19)31258-7. doi: 10.1016/j.jsams.2019.09.004. [Epub ahead of print]","J Sci Med Sport.  2019","PubMed","citation","PMID:31543460","pubmed","31543460","create date:2019/09/24 | first author:Bandeira ADS",
